,OBJECTID,Join_Count,TARGET_FID,plotid,longitude,latitude,shape,size_m,sample_points,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,Water>irrigation ditch,grass,Water>rivers/stream,Impervious Surface (no building),Wetlands,Water>lake/ponded/container,cultivated vegetation,Bare Ground,Building,Trees_CanopyCover,unknown,bush/scrub,shadow,shape.1,shape.2,shape.3,shape.4,shape.5,shape.6,shape.7,shape.8,shape_12_13_14_15_16_17_18_19_2,Water>treated pool,shape_12_13_14_15_16_17_18_19_3,shape_12_13_14_15_16_17_18_19_4,shape_12_13_14_15_16_17_18_19_5,shape_12_13_14_15_16_17_18_19_6,shape_12_13_14_15_16_17_18_19_7,shape_12_13_14_15_16_17_18_19_8,shape_12_13_14_15_16_17_18_19_9,shape_12_13_14_15_16_17_18_1_10,shape_12_13_14_15_16_17_18_1_11,shape_12_13_14_15_16_17_18_1_12,plotid 1,center_lon 1,center_lat 1,shape 1,size_m 1,sample_points 1,flagged 1,flagged_reason 1,confidence 1,collection_time 1,analysis_duration 1,common_securewatch_date 1,total_securewatch_dates 1,Land_Cover_Elements_Water_irr_1,grass 1,Land_Cover_Elements_Water_riv_1,Land_Cover_Elements_Impervious1,Wetlands 1,Land_Cover_Elements_Water_lake1,Land_Cover_Elements_cultivated1,Land_Cover_Elements_Bare_Grou_1,Building 1,Land_Cover_Elements_Trees_Can_1,unknown 1,Land_Cover_Elements_bush_scrub_,shadow 1,shape 1.1,shape 1.2,shape 1.3,shape 1.4,shape 1.5,shape 1.6,shape 1.7,shape 1.8,shape_12_13_14_15_16_17_18_1_13,Land_Cover_Elements_Water_tre_1,shape_12_13_14_15_16_17_18_1_14,shape_12_13_14_15_16_17_18_1_15,shape_12_13_14_15_16_17_18_1_16,shape_12_13_14_15_16_17_18_1_17,shape_12_13_14_15_16_17_18_1_18,shape_12_13_14_15_16_17_18_1_19,shape_12_13_14_15_16_17_18_1_20,shape_12_13_14_15_16_17_18_1_21,shape_12_13_14_15_16_17_18_1_22,shape_12_13_14_15_16_17_18_1_23,x,y,Median Income,Min Distance,AOI,Average Income
55,56,1,56,1818,-97.892961,30.314827,,100,100,0,,80,01-07-2024 18:15,39.9 secs,,0,0,0,0,0,0,0,0,1,0,97,0,2,0,,,,,,,,,,,,,,,,,,,,,1818,-97.892961,30.314827,,100,100,0,,80,01-07-2024 18:15,39.9 secs,,0,0,0,0,0,0,0,0,1,0,97,0,2,0,,,,,,,,,,,,,,,,,,,,,-97.892961,30.314827,300000,2321.023901,18,300000
56,57,1,57,1819,-97.887754,30.292344,,100,100,0,,75,01-07-2024 18:19,199.6 secs,,0,0,0,8,0,0,0,0,2,0,76,0,14,0,,,,,,,,,,,,,,,,,,,,,1819,-97.887754,30.292344,,100,100,0,,75,01-07-2024 18:19,199.6 secs,,0,0,0,8,0,0,0,0,2,0,76,0,14,0,,,,,,,,,,,,,,,,,,,,,-97.887754,30.292344,300000,1634.277456,18,300000
57,58,1,58,1820,-97.887754,30.296841,,100,100,0,,70,01-07-2024 18:23,235.8 secs,,0,0,0,0,9,0,0,0,1,10,76,0,0,4,,,,,,,,,,,,,,,,,,,,,1820,-97.887754,30.296841,,100,100,0,,70,01-07-2024 18:23,235.8 secs,,0,0,0,0,9,0,0,0,1,10,76,0,0,4,,,,,,,,,,,,,,,,,,,,,-97.887754,30.296841,300000,1382.952784,18,300000
58,59,1,59,1821,-97.887754,30.301337,,100,100,0,,75,01-07-2024 18:23,33.0 secs,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,1821,-97.887754,30.301337,,100,100,0,,75,01-07-2024 18:23,33.0 secs,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.887754,30.301337,300000,1285.034175,18,300000
59,60,1,60,1822,-97.887754,30.305834,,100,100,0,,75,01-07-2024 18:26,150.5 secs,,0,0,0,0,0,0,0,0,10,1,72,0,17,0,,,,,,,,,,,,,,,,,,,,,1822,-97.887754,30.305834,,100,100,0,,75,01-07-2024 18:26,150.5 secs,,0,0,0,0,0,0,0,0,10,1,72,0,17,0,,,,,,,,,,,,,,,,,,,,,-97.887754,30.305834,300000,1373.685152,18,300000
60,61,1,61,1823,-97.887754,30.31033,,100,100,0,,75,01-07-2024 18:48,313.5 secs,,0,0,0,0,26,0,0,0,14,0,43,0,16,1,,,,,,,,,,,,,,,,,,,,,1823,-97.887754,30.31033,,100,100,0,,75,01-07-2024 18:48,313.5 secs,,0,0,0,0,26,0,0,0,14,0,43,0,16,1,,,,,,,,,,,,,,,,,,,,,-97.887754,30.31033,300000,1618.502025,18,300000
61,62,1,62,1824,-97.887754,30.314827,,100,100,0,,80,01-07-2024 18:28,21.4 secs,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,1824,-97.887754,30.314827,,100,100,0,,80,01-07-2024 18:28,21.4 secs,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.887754,30.314827,300000,1961.951437,18,300000
62,63,1,63,1825,-97.882546,30.292344,,100,100,0,,75,01-07-2024 18:27,21.5 secs,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,1825,-97.882546,30.292344,,100,100,0,,75,01-07-2024 18:27,21.5 secs,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.882546,30.292344,300000,1278.384814,18,300000
63,64,1,64,1826,-97.882546,30.296841,,100,100,0,,80,01-07-2024 18:27,14.7 secs,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,1826,-97.882546,30.296841,,100,100,0,,80,01-07-2024 18:27,14.7 secs,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.882546,30.296841,300000,935.954396,18,300000
64,65,1,65,1827,-97.882546,30.301337,,100,100,0,,75,01-07-2024 18:28,38.8 secs,,0,0,0,0,1,0,0,0,1,0,96,0,0,2,,,,,,,,,,,,,,,,,,,,,1827,-97.882546,30.301337,,100,100,0,,75,01-07-2024 18:28,38.8 secs,,0,0,0,0,1,0,0,0,1,0,96,0,0,2,,,,,,,,,,,,,,,,,,,,,-97.882546,30.301337,300000,784.0997065,18,300000
65,66,1,66,1828,-97.882546,30.305834,,100,100,0,,75,01-07-2024 18:29,52.9 secs,,0,0,2,0,1,0,0,0,7,0,90,0,0,0,,,,,,,,,,,,,,,,,,,,,1828,-97.882546,30.305834,,100,100,0,,75,01-07-2024 18:29,52.9 secs,,0,0,2,0,1,0,0,0,7,0,90,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.882546,30.305834,300000,922.2568635,18,300000
66,67,1,67,1829,-97.882546,30.31033,,100,100,0,,70,01-07-2024 18:43,138.2 secs,,0,1,26,0,2,0,0,0,0,0,67,0,3,1,,,,,,,,,,,,,,,,,,,,,1829,-97.882546,30.31033,,100,100,0,,70,01-07-2024 18:43,138.2 secs,,0,1,26,0,2,0,0,0,0,0,67,0,3,1,,,,,,,,,,,,,,,,,,,,,-97.882546,30.31033,300000,1258.230078,18,300000
67,68,1,68,1830,-97.882546,30.314827,,100,100,0,,75,01-07-2024 18:32,133.1 secs,,0,0,0,0,4,0,0,0,2,0,64,0,30,0,,,,,,,,,,,,,,,,,,,,,1830,-97.882546,30.314827,,100,100,0,,75,01-07-2024 18:32,133.1 secs,,0,0,0,0,4,0,0,0,2,0,64,0,30,0,,,,,,,,,,,,,,,,,,,,,-97.882546,30.314827,300000,1677.168709,18,300000
68,69,1,69,1831,-97.877338,30.292344,,100,100,0,,70,01-07-2024 18:53,202.9 secs,,0,0,9,0,7,0,0,0,0,10,64,0,6,4,,,,,,,,,,,,,,,,,,,,,1831,-97.877338,30.292344,,100,100,0,,70,01-07-2024 18:53,202.9 secs,,0,0,9,0,7,0,0,0,0,10,64,0,6,4,,,,,,,,,,,,,,,,,,,,,-97.877338,30.292344,300000,1048.651842,18,300000
69,70,1,70,1832,-97.877338,30.296841,,100,100,0,,70,01-07-2024 18:33,114.3 secs,,0,0,12,0,0,0,0,0,0,4,77,0,3,4,,,,,,,,,,,,,,,,,,,,,1832,-97.877338,30.296841,,100,100,0,,70,01-07-2024 18:33,114.3 secs,,0,0,12,0,0,0,0,0,0,4,77,0,3,4,,,,,,,,,,,,,,,,,,,,,-97.877338,30.296841,300000,584.3269425,18,300000
70,71,1,71,1833,-97.877338,30.301337,,100,100,0,,70,01-07-2024 18:40,103.3 secs,,0,1,0,0,5,0,0,0,0,2,87,0,5,0,,,,,,,,,,,,,,,,,,,,,1833,-97.877338,30.301337,,100,100,0,,70,01-07-2024 18:40,103.3 secs,,0,1,0,0,5,0,0,0,0,2,87,0,5,0,,,,,,,,,,,,,,,,,,,,,-97.877338,30.301337,300000,283.309165,18,300000
71,72,1,72,1834,-97.877338,30.305834,,100,100,0,,70,01-07-2024 20:14,3242.0 secs,,0,0,0,0,0,0,0,0,2,0,67,0,28,3,,,,,,,,,,,,,,,,,,,,,1834,-97.877338,30.305834,,100,100,0,,70,01-07-2024 20:14,3242.0 secs,,0,0,0,0,0,0,0,0,2,0,67,0,28,3,,,,,,,,,,,,,,,,,,,,,-97.877338,30.305834,300000,562.1688823,18,300000
72,73,1,73,1835,-97.877338,30.31033,,100,100,0,,70,01-07-2024 18:39,157.8 secs,,0,1,8,0,12,0,0,0,0,9,65,0,2,3,,,,,,,,,,,,,,,,,,,,,1835,-97.877338,30.31033,,100,100,0,,70,01-07-2024 18:39,157.8 secs,,0,1,8,0,12,0,0,0,0,9,65,0,2,3,,,,,,,,,,,,,,,,,,,,,-97.877338,30.31033,300000,1024.032935,18,300000
73,74,1,74,1836,-97.877338,30.314827,,100,100,0,,80,01-07-2024 18:53,7.5 secs,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,1836,-97.877338,30.314827,,100,100,0,,80,01-07-2024 18:53,7.5 secs,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.877338,30.314827,300000,1509.443541,18,300000
74,75,1,75,3000,-97.908902,30.255969,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3000,-97.908902,30.255969,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.908902,30.255969,300000,6037.051568,30,197599.5811
75,76,1,76,3001,-97.921915,30.244727,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3001,-97.921915,30.244727,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.921915,30.244727,300000,6565.232966,30,197599.5811
76,77,1,77,3002,-97.921915,30.249224,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3002,-97.921915,30.249224,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.921915,30.249224,300000,6799.603846,30,197599.5811
77,78,1,78,3003,-97.921915,30.253721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3003,-97.921915,30.253721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.921915,30.253721,300000,6993.067173,30,197599.5811
78,79,1,79,3004,-97.921915,30.258217,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3004,-97.921915,30.258217,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.921915,30.258217,300000,6623.887788,30,197599.5811
79,80,1,80,3005,-97.921915,30.262714,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3005,-97.921915,30.262714,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.921915,30.262714,300000,6272.53251,30,197599.5811
80,81,1,81,3006,-97.921915,30.26721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3006,-97.921915,30.26721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.921915,30.26721,300000,5942.333608,30,197599.5811
81,82,1,82,3007,-97.91671,30.244727,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3007,-97.91671,30.244727,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.91671,30.244727,300000,6119.482541,30,197599.5811
82,83,1,83,3008,-97.91671,30.249224,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3008,-97.91671,30.249224,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.91671,30.249224,300000,6370.29454,30,197599.5811
83,84,1,84,3009,-97.91671,30.253721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3009,-97.91671,30.253721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.91671,30.253721,300000,6649.081876,30,197599.5811
84,85,1,85,3010,-97.91671,30.258217,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3010,-97.91671,30.258217,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.91671,30.258217,300000,6288.670335,30,197599.5811
85,86,1,86,3011,-97.91671,30.262714,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3011,-97.91671,30.262714,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.91671,30.262714,300000,5917.461156,30,197599.5811
86,87,1,87,3012,-97.91671,30.26721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3012,-97.91671,30.26721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.91671,30.26721,300000,5566.25623,30,197599.5811
87,88,1,88,3013,-97.911505,30.244727,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3013,-97.911505,30.244727,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.911505,30.244727,300000,5682.951017,30,197599.5811
88,89,1,89,3014,-97.911505,30.249224,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3014,-97.911505,30.249224,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.911505,30.249224,300000,5952.205706,30,197599.5811
89,90,1,90,3015,-97.911505,30.253721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3015,-97.911505,30.253721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.911505,30.253721,300000,6249.68996,30,197599.5811
90,91,1,91,3016,-97.911505,30.258217,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3016,-97.911505,30.258217,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.911505,30.258217,300000,5976.659025,30,197599.5811
91,92,1,92,3017,-97.911505,30.262714,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3017,-97.911505,30.262714,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.911505,30.262714,300000,5584.764944,30,197599.5811
92,93,1,93,3018,-97.911505,30.26721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3018,-97.911505,30.26721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.911505,30.26721,300000,5211.202911,30,197599.5811
93,94,1,94,3019,-97.906299,30.244727,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3019,-97.906299,30.244727,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.906299,30.244727,300000,5257.854681,30,197599.5811
94,95,1,95,3020,-97.906299,30.249224,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3020,-97.906299,30.249224,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.906299,30.249224,300000,5547.798489,30,197599.5811
95,96,1,96,3021,-97.906299,30.253721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3021,-97.906299,30.253721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.906299,30.253721,300000,5865.846201,30,197599.5811
96,97,1,97,3022,-97.906299,30.258217,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3022,-97.906299,30.258217,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.906299,30.258217,300000,5691.619656,30,197599.5811
97,98,1,98,3023,-97.906299,30.262714,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3023,-97.906299,30.262714,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.906299,30.262714,300000,5278.620302,30,197599.5811
98,99,1,99,3024,-97.906299,30.26721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3024,-97.906299,30.26721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.906299,30.26721,300000,4881.702589,30,197599.5811
99,100,1,100,3025,-97.901094,30.244727,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3025,-97.901094,30.244727,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.901094,30.244727,300000,4847.387345,30,197599.5811
100,101,1,101,3026,-97.901094,30.249224,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3026,-97.901094,30.249224,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.901094,30.249224,300000,5160.463655,30,197599.5811
101,102,1,102,3027,-97.901094,30.253721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3027,-97.901094,30.253721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.901094,30.253721,300000,5500.968784,30,197599.5811
102,103,1,103,3028,-97.901094,30.258217,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3028,-97.901094,30.258217,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.901094,30.258217,300000,5437.912831,30,197599.5811
103,104,1,104,3029,-97.901094,30.262714,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3029,-97.901094,30.262714,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.901094,30.262714,300000,5004.030639,30,197599.5811
104,105,1,105,3030,-97.901094,30.26721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3030,-97.901094,30.26721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.901094,30.26721,300000,4583.409124,30,197599.5811
105,106,1,106,3031,-97.895889,30.244727,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3031,-97.895889,30.244727,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.895889,30.244727,300000,4455.488229,30,197599.5811
106,107,1,107,3032,-97.895889,30.249224,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3032,-97.895889,30.249224,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.895889,30.249224,300000,4794.242629,30,197599.5811
107,108,1,108,3033,-97.895889,30.253721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3033,-97.895889,30.253721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.895889,30.253721,300000,5158.992227,30,197599.5811
108,109,1,109,3034,-97.895889,30.258217,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3034,-97.895889,30.258217,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.895889,30.258217,300000,5220.043198,30,197599.5811
109,110,1,110,3035,-97.895889,30.262714,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3035,-97.895889,30.262714,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.895889,30.262714,300000,4766.380546,30,197599.5811
110,111,1,111,3036,-97.895889,30.26721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3036,-97.895889,30.26721,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.895889,30.26721,300000,4322.708167,30,197599.5811
111,112,1,112,1400,-97.705786,30.297068,,100,100,0,,100,12-07-2023 21:34,17375.8 secs,,0,0,27,0,0,0,6,0,9,0,40,0,0,18,,,,,,,,,,,,,,,,,,,,,1400,-97.705786,30.297068,,100,100,0,,100,12-07-2023 21:34,17375.8 secs,,0,0,27,0,0,0,6,0,9,0,40,0,0,18,,,,,,,,,,,,,,,,,,,,,-97.705786,30.297068,64131,652.1644487,14,108120.9189
112,113,1,113,1401,-97.718805,30.285826,,100,100,0,,100,14-07-2023 02:59,105832.1 secs,,0,0,11,0,9,0,1,0,4,23,35,0,0,17,,,,,,,,,,,,,,,,,,,,,1401,-97.718805,30.285826,,100,100,0,,100,14-07-2023 02:59,105832.1 secs,,0,0,11,0,9,0,1,0,4,23,35,0,0,17,,,,,,,,,,,,,,,,,,,,,-97.718805,30.285826,62007,1012.114144,14,108120.9189
113,114,1,114,1402,-97.718805,30.290323,,100,100,0,,100,15-07-2023 21:51,154270.4 secs,,0,0,3,0,6,0,0,0,2,10,60,0,2,17,,,,,,,,,,,,,,,,,,,,,1402,-97.718805,30.290323,,100,100,0,,100,15-07-2023 21:51,154270.4 secs,,0,0,3,0,6,0,0,0,2,10,60,0,2,17,,,,,,,,,,,,,,,,,,,,,-97.718805,30.290323,64131,955.7996865,14,108120.9189
114,115,1,115,1403,-97.718805,30.29482,,100,100,0,,100,15-07-2023 21:56,335.5 secs,,0,0,6,0,59,0,0,0,0,12,4,0,0,19,,,,,,,,,,,,,,,,,,,,,1403,-97.718805,30.29482,,100,100,0,,100,15-07-2023 21:56,335.5 secs,,0,0,6,0,59,0,0,0,0,12,4,0,0,19,,,,,,,,,,,,,,,,,,,,,-97.718805,30.29482,64131,648.4287786,14,108120.9189
115,116,1,116,1404,-97.718805,30.299316,,100,100,0,,100,15-07-2023 21:59,182.0 secs,,0,0,1,0,56,0,0,0,0,29,9,0,0,5,,,,,,,,,,,,,,,,,,,,,1404,-97.718805,30.299316,,100,100,0,,100,15-07-2023 21:59,182.0 secs,,0,0,1,0,56,0,0,0,0,29,9,0,0,5,,,,,,,,,,,,,,,,,,,,,-97.718805,30.299316,64131,651.4341509,14,108120.9189
116,117,1,117,1405,-97.718805,30.303813,,100,100,0,,100,15-07-2023 22:21,1301.6 secs,,0,0,4,0,8,0,0,0,0,20,48,0,0,20,,,,,,,,,,,,,,,,,,,,,1405,-97.718805,30.303813,,100,100,0,,100,15-07-2023 22:21,1301.6 secs,,0,0,4,0,8,0,0,0,0,20,48,0,0,20,,,,,,,,,,,,,,,,,,,,,-97.718805,30.303813,28439,753.4645551,14,108120.9189
117,118,1,118,1406,-97.718805,30.308309,,100,100,0,,100,19-07-2023 12:43,310929.9 secs,,0,0,7,0,8,0,0,0,3,17,53,0,2,10,,,,,,,,,,,,,,,,,,,,,1406,-97.718805,30.308309,,100,100,0,,100,19-07-2023 12:43,310929.9 secs,,0,0,7,0,8,0,0,0,3,17,53,0,2,10,,,,,,,,,,,,,,,,,,,,,-97.718805,30.308309,28439,977.0701409,14,108120.9189
118,119,1,119,1407,-97.713597,30.285826,,100,100,0,,100,19-07-2023 12:51,449.0 secs,,0,0,7,0,8,0,0,0,1,15,50,0,1,18,,,,,,,,,,,,,,,,,,,,,1407,-97.713597,30.285826,,100,100,0,,100,19-07-2023 12:51,449.0 secs,,0,0,7,0,8,0,0,0,1,15,50,0,1,18,,,,,,,,,,,,,,,,,,,,,-97.713597,30.285826,62007,1198.417811,14,108120.9189
119,120,1,120,1408,-97.713597,30.290323,,100,100,0,,100,19-07-2023 12:56,332.7 secs,,0,0,13,0,12,0,0,0,0,13,46,0,0,16,,,,,,,,,,,,,,,,,,,,,1408,-97.713597,30.290323,,100,100,0,,100,19-07-2023 12:56,332.7 secs,,0,0,13,0,12,0,0,0,0,13,46,0,0,16,,,,,,,,,,,,,,,,,,,,,-97.713597,30.290323,64131,750.3904197,14,108120.9189
